Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMATCH_00215	AMP	0.98
RDKIT_SHAPRULEMATCH_00216	AMP	0.97
RDKIT_SHAPRULEMATCH_00217	AMP	0.98
RDKIT_SHAPRULEMATCH_00218	AMP	0.99
RDKIT_SHAPRULEMATCH_00219	AMP	0.95
RDKIT_SHAPRULEMATCH_00220	AMP	0.99
RDKIT_SHAPRULEMATCH_00221	AMP	0.99
RDKIT_SHAPRULEMATCH_00222	AMP	0.98
RDKIT_SHAPRULEMATCH_00223	AMP	0.99
RDKIT_SHAPRULEMATCH_00224	AMP	1.00
RDKIT_SHAPRULEMATCH_00225	AMP	0.99
RDKIT_SHAPRULEMATCH_00226	AMP	0.99
RDKIT_SHAPRULEMATCH_00227	AMP	0.98
RDKIT_SHAPRULEMATCH_00228	AMP	1.00
RDKIT_SHAPRULEMATCH_00229	AMP	0.97
RDKIT_SHAPRULEMATCH_00230	AMP	0.96
RDKIT_SHAPRULEMATCH_00231	AMP	0.99
RDKIT_SHAPRULEMATCH_00232	AMP	0.99
RDKIT_SHAPRULEMATCH_00233	AMP	0.98
RDKIT_SHAPRULEMATCH_00234	AMP	0.99
RDKIT_SHAPRULEMATCH_00235	AMP	0.99
RDKIT_SHAPRULEMATCH_00236	AMP	0.96
RDKIT_SHAPRULEMATCH_00237	AMP	0.98
RDKIT_SHAPRULEMATCH_00238	AMP	1.00
RDKIT_SHAPRULEMATCH_00239	AMP	0.98
RDKIT_SHAPRULEMATCH_00240	AMP	0.97
RDKIT_SHAPRULEMATCH_00241	AMP	0.97
RDKIT_SHAPRULEMATCH_00242	AMP	0.99
RDKIT_SHAPRULEMATCH_00243	AMP	1.00
RDKIT_SHAPRULEMATCH_00244	AMP	0.99
RDKIT_SHAPRULEMATCH_00245	AMP	0.95
RDKIT_SHAPRULEMATCH_00246	AMP	1.00
RDKIT_SHAPRULEMATCH_00247	AMP	0.97
RDKIT_SHAPRULEMATCH_00248	AMP	0.99
RDKIT_SHAPRULEMATCH_00249	AMP	0.99
RDKIT_SHAPRULEMATCH_00250	AMP	0.98
RDKIT_SHAPRULEMATCH_00251	AMP	0.98
RDKIT_SHAPRULEMATCH_00252	AMP	0.98
RDKIT_SHAPRULEMATCH_00253	AMP	1.00
RDKIT_SHAPRULEMATCH_00254	AMP	0.99
RDKIT_SHAPRULEMATCH_00255	AMP	0.94
RDKIT_SHAPRULEMATCH_00256	AMP	0.99
RDKIT_SHAPRULEMATCH_00257	AMP	0.98
RDKIT_SHAPRULEMATCH_00258	AMP	1.00
RDKIT_SHAPRULEMATCH_00259	AMP	0.99
RDKIT_SHAPRULEMATCH_00260	AMP	0.99
RDKIT_SHAPRULEMATCH_00261	AMP	0.99
RDKIT_SHAPRULEMATCH_00262	AMP	0.99
RDKIT_SHAPRULEMATCH_00263	AMP	0.99
